name,full_name,Commit,Testes,ssh_url,fork,created_at,updated_at,pushed_at,has_issues,size,stargazers_count,watchers_count,language,has_projects,has_downloads,has_wiki,has_pages,forks_count,archived,disabled,open_issues_count,network_count,default_branch,watchers,subscribers_count
dubbo,apache/dubbo,22015103f756d3edb0b3f658379ba4c402985488,136,"""git@github.com:apache/dubbo.git""",false,2012-06-19T07:56:02Z,2021-04-08T14:51:06Z,2021-04-08T11:59:43Z,true,31006,34977,34977,Java,true,true,true,false,23382,false,false,921,23382,master,34977,3229
MPAndroidChart,PhilJay/MPAndroidChart,5a732b04278a983d32856c75ad552f2dcbbd922d,6,"""git@github.com:PhilJay/MPAndroidChart.git""",false,2014-04-25T14:29:47Z,2021-04-16T17:34:32Z,2021-04-10T13:56:49Z,true,21625,33138,33138,Java,true,true,true,false,8346,false,false,1939,8346,master,33138,1133
"""GitHub-Chinese-Top-Charts""",kon9chunkit/GitHub-Chinese-Top-Charts,No java,,"""git@github.com:kon9chunkit/GitHub-Chinese-Top-Charts.git""",false,2019-09-05T03:01:56Z,2021-04-13T10:03:22Z,2021-04-12T02:32:28Z,true,3892,32555,32555,Java,true,true,true,false,4688,false,false,96,4688,master,32555,1817
glide,bumptech/glide,0e6912a910e083a1cc0360712ca18eaed4d12d42,132,"""git@github.com:bumptech/glide.git""",false,2013-07-08T22:52:33Z,2021-04-09T10:41:12Z,2021-03-30T01:55:01Z,true,90931,30982,30982,Java,true,true,true,true,5645,false,false,232,5645,master,30982,1078
lottie-android,airbnb/lottie-android,188dee2cb37d5092ce6c4c91719f1bd9890b2a08,9,"""git@github.com:airbnb/lottie-android.git""",false,2016-10-06T22:42:42Z,2021-04-08T20:18:19Z,2021-04-02T18:06:55Z,true,134866,30916,30916,Java,false,true,false,false,4951,false,false,29,4951,master,30916,874
AndroidUtilCode,Blankj/AndroidUtilCode,10ae0707d10258469cdd6203c107b3e76db23a16,34,"""git@github.com:Blankj/AndroidUtilCode.git""",false,2016-07-30T18:18:32Z,2021-04-09T01:31:11Z,2021-04-03T08:29:31Z,true,47036,29101,29101,Java,false,true,false,true,9673,false,false,55,9673,master,29101,1183
zxing,zxing/zxing,d4c3d73592e86aff480afef62ebc20ae70165e38,10,"""git@github.com:zxing/zxing.git""",false,2011-10-12T14:07:27Z,2021-04-14T11:21:57Z,2021-04-12T14:44:42Z,true,240549,27558,27558,Java,false,true,true,true,8977,false,false,9,8977,master,27558,1709
JCSprout,crossoverJie/JCSprout,435d4857b00e3c5f706fdf083a9f32a46fdcb441,15,"""git@github.com:crossoverJie/JCSprout.git""",false,2017-12-17T09:06:50Z,2021-04-10T15:32:51Z,2021-03-08T00:53:42Z,true,1182,25977,25977,Java,true,true,true,true,7080,false,false,40,7080,master,25977,1700
jadx,skylot/jadx,8dad158ae63a486c20a940adc9f3396ce62b78c9,,"""git@github.com:skylot/jadx.git""",false,2013-03-18T17:08:21Z,2021-04-19T14:52:24Z,2021-04-18T18:24:02Z,true,16550,25732,25732,Java,false,true,true,false,3171,false,false,162,3171,master,25732,758
butterknife,JakeWharton/butterknife,fcdebedf3276096db2f51bf6372b849b5a9c75ed,10,"""git@github.com:JakeWharton/butterknife.git""",false,2013-03-05T08:18:59Z,2021-04-12T21:29:16Z,2021-01-07T07:11:24Z,true,3909,25674,25674,Java,false,true,false,true,4750,false,false,113,4750,master,25674,1093
proxyee-down,proxyee-down-org/proxyee-down,No Jnose,,"""git@github.com:proxyee-down-org/proxyee-down.git""",false,2017-10-25T10:07:27Z,2021-04-18T02:05:59Z,2020-08-11T09:34:25Z,false,26858,25484,25484,Java,true,true,true,false,4646,false,false,211,4646,master,25484,986
tutorials,eugenp/tutorials,b9019a65e82009f790a21e4cb6bf5de254c346b6,27,"""git@github.com:eugenp/tutorials.git""",false,2013-04-29T18:26:36Z,2021-04-10T12:43:52Z,2021-04-10T13:23:19Z,true,323100,25482,25482,Java,true,true,true,false,40825,false,false,47,40825,master,25482,1533
arthas,alibaba/arthas,adf7725618fcd5962cce2be93d8c16bd0a98ba2b,,"""git@github.com:alibaba/arthas.git""",false,2018-08-29T17:15:57Z,2021-04-08T15:21:43Z,2021-04-08T08:05:23Z,true,22996,25272,25272,Java,true,true,true,true,5548,false,false,172,5548,master,25272,1141
spring-boot-examples,ityouknow/spring-boot-examples,b220cc7020ed89e85b4b4ec4f009cc6a428450d6,33,"""git@github.com:ityouknow/spring-boot-examples.git""",false,2016-11-05T05:32:33Z,2021-04-12T16:57:38Z,2021-04-02T02:32:01Z,true,1020,25215,25215,Java,true,true,true,false,11170,false,false,6,11170,master,25215,1330
apollo,ctripcorp/apollo,07a062b9dc2dcfe192a57fa7a50f597fdca050f3,115,"""git@github.com:ctripcorp/apollo.git""",false,2016-03-04T10:24:23Z,2021-04-10T17:46:47Z,2021-04-10T11:38:51Z,true,46250,24275,24275,Java,true,true,true,true,8880,false,false,226,8880,master,24275,1315
druid,alibaba/druid,7f0956b28c2f82cf5ffa901ad07dc54de96104d8,,"""git@github.com:alibaba/druid.git""",false,2011-11-03T05:12:51Z,2021-04-08T14:58:19Z,2021-04-08T15:05:10Z,true,64169,23619,23619,Java,true,true,true,false,7681,false,false,1972,7681,master,23619,1809
fastjson,alibaba/fastjson,No Jnose,,"""git@github.com:alibaba/fastjson.git""",false,2011-11-03T06:58:52Z,2021-04-08T15:21:12Z,2021-04-07T11:19:12Z,true,15248,23187,23187,Java,true,true,true,false,6224,false,false,1586,6224,master,23187,1376
SmartRefreshLayout,scwang90/SmartRefreshLayout,No Jnose,,"""git@github.com:scwang90/SmartRefreshLayout.git""",false,2017-06-02T09:52:50Z,2021-04-18T12:49:42Z,2021-01-06T14:31:20Z,true,273174,22408,22408,Java,true,true,true,false,4616,false,false,151,4616,master,22408,516
"""BaseRecyclerViewAdapterHelper""",CymChad/BaseRecyclerViewAdapterHelper,No Jnose,,"""git@github.com:CymChad/BaseRecyclerViewAdapterHelper.git""",false,2016-04-10T07:40:11Z,2021-04-09T09:37:26Z,2021-03-29T11:43:09Z,true,64854,21717,21717,Java,true,true,true,false,4630,false,false,335,4630,master,21717,567
jeecg-boot,zhangdaiscott/jeecg-boot,892196fe9ad6a06c29861d0e791b1ab38279b1be,,"""git@github.com:zhangdaiscott/jeecg-boot.git""",false,2018-11-26T10:40:00Z,2021-04-14T09:43:52Z,2021-04-13T08:17:54Z,true,45306,21685,21685,Java,true,true,true,true,8388,false,false,30,8388,master,21685,737
spring-boot-demo,xkcoding/spring-boot-demo,71bd673772fba3e18105041284a7fe42933c1377,,"""git@github.com:xkcoding/spring-boot-demo.git""",false,2017-11-10T06:27:29Z,2021-04-14T02:18:28Z,2021-04-10T08:56:55Z,true,13859,21399,21399,Java,true,true,true,false,7445,false,false,85,7445,master,21399,948
vhr,lenve/vhr,No jnose,,"""git@github.com:lenve/vhr.git""",false,2018-01-04T08:57:51Z,2021-04-13T13:35:54Z,2021-03-30T06:18:58Z,true,8381,20925,20925,Java,true,true,true,false,8742,false,false,166,8742,master,20925,874
selenium,SeleniumHQ/selenium,8d80348b75aff4b712aa8101da979bbe21e12bd4,,"""git@github.com:SeleniumHQ/selenium.git""",false,2013-01-14T21:40:56Z,2021-04-19T12:33:01Z,2021-04-19T11:07:03Z,true,1896203,20600,20600,Java,true,true,true,true,6273,false,false,187,6273,trunk,20600,1337
Signal-Android,signalapp/Signal-Android,1a452efbb956221e0dddefa0e444d051ca815e0a,,"""git@github.com:signalapp/Signal-Android.git""",false,2011-12-15T20:01:12Z,2021-04-19T11:59:08Z,2021-04-19T14:00:23Z,true,356328,20392,20392,Java,true,true,true,false,4856,false,false,1407,4856,master,20392,948
toBeTopJavaer,hollischuang/toBeTopJavaer,No jnose,,"""git@github.com:hollischuang/toBeTopJavaer.git""",false,2018-10-25T09:54:54Z,2021-04-11T12:58:59Z,2021-03-22T07:39:48Z,true,7417,20116,20116,Java,true,true,true,true,4580,false,false,23,4580,master,20116,899
miaosha,qiurunze123/miaosha,590ef1848a9100cf2c80ea3ce774e1b6b4694827,,"""git@github.com:qiurunze123/miaosha.git""",false,2018-09-14T04:36:24Z,2021-04-18T13:11:07Z,2021-04-12T13:34:44Z,true,65603,20056,20056,Java,true,true,true,false,5095,false,false,44,5095,master,20056,766
dbeaver,dbeaver/dbeaver,20f8797683704d7eef266958b395b8d66724bde2,,"""git@github.com:dbeaver/dbeaver.git""",false,2015-10-21T08:26:28Z,2021-04-09T20:08:54Z,2021-04-09T20:35:30Z,true,277933,19941,19941,Java,true,true,true,true,1850,false,false,1352,1850,devel,19941,476
gson,google/gson,1a9469a8c5aa31deacd36b3d15347f873ce7e889,,"""git@github.com:google/gson.git""",false,2015-03-19T18:21:20Z,2021-04-12T15:44:48Z,2021-04-11T15:08:45Z,true,10647,19405,19405,Java,false,false,false,false,3766,false,false,646,3766,master,19405,748
gson,google/gson,,,"""git@github.com:google/gson.git""",false,2015-03-19T18:21:20Z,2021-04-12T14:19:37Z,2021-04-11T15:08:45Z,true,10647,19404,19404,Java,false,false,false,false,3766,false,false,646,3766,master,19404,748
RxAndroid,ReactiveX/RxAndroid,f1ddbcb637a2bc3f873db204f3af9d8b01688550,,"""git@github.com:ReactiveX/RxAndroid.git""",false,2014-08-19T03:46:38Z,2021-04-17T06:50:31Z,2021-02-04T19:46:59Z,true,949,19383,19383,Java,false,true,true,false,2988,false,false,2,2988,3.x,19383,1030
easyexcel,alibaba/easyexcel,no jnose,,"""git@github.com:alibaba/easyexcel.git""",false,2018-02-06T03:14:08Z,2021-04-08T14:17:56Z,2021-04-08T13:40:28Z,true,24843,19358,19358,Java,true,true,true,false,5146,false,false,245,5146,master,19358,572
seata,seata/seata,c3a441ce57b14bce2c68594744cd1493bb640d86,,"""git@github.com:seata/seata.git""",false,2018-12-28T08:37:22Z,2021-04-19T10:20:13Z,2021-04-18T07:32:16Z,true,7448,19237,19237,Java,true,true,true,false,5960,false,false,533,5960,develop,19237,880
SpringAll,wuyouzhuguli/SpringAll,no jnose,,"""git@github.com:wuyouzhuguli/SpringAll.git""",false,2018-05-02T02:48:44Z,2021-04-13T18:36:22Z,2021-01-31T03:32:50Z,true,1059,19091,19091,Java,true,true,true,false,5796,false,false,11,5796,master,19091,820
hutool,dromara/hutool,fda3fa2e61f03eea77917d83e26dd002e54669e6,,"""git@github.com:dromara/hutool.git""",false,2014-04-13T07:23:51Z,2021-04-13T11:51:49Z,2021-04-13T07:04:25Z,true,37750,18582,18582,Java,true,true,false,false,5550,false,false,2,5550,v5-master,18582,600
kafka,apache/kafka,bee3cf7d98645af5460f3483acf81cf1c60de08e,,"""git@github.com:apache/kafka.git""",false,2011-08-15T18:06:16Z,2021-04-08T23:06:41Z,2021-04-08T23:24:01Z,false,122339,18468,18468,Java,true,true,false,false,9833,false,false,857,9833,trunk,18468,1066
canal,alibaba/canal,5cc85ff2ded1a88fbb13c80da2f72c0aa3306e3d,,"""git@github.com:alibaba/canal.git""",false,2013-01-13T10:59:52Z,2021-04-08T15:21:18Z,2021-04-04T12:17:17Z,true,18359,18392,18392,Java,true,true,true,true,5658,false,false,647,5658,master,18392,1187
libgdx,libgdx/libgdx,8de163186d0d6ebf6f35810ff090fbbd0984744e,,"""git@github.com:libgdx/libgdx.git""",false,2012-08-10T19:34:38Z,2021-04-13T14:32:17Z,2021-04-12T09:34:29Z,true,1095106,18286,18286,Java,true,true,true,false,6143,false,false,211,6143,master,18286,1248
spring-cloud-alibaba,alibaba/spring-cloud-alibaba,c76f407038b0887807e2240eedb5e77d663ae38d,,"""git@github.com:alibaba/spring-cloud-alibaba.git""",false,2017-12-01T20:49:15Z,2021-04-08T16:08:37Z,2021-04-08T03:27:30Z,true,6455,18233,18233,Java,true,true,true,false,5563,false,false,325,5563,master,18233,963
picasso,square/picasso,2832bcd7e725befd7f6c26ddd0e94684d5013791,,"""git@github.com:square/picasso.git""",false,2013-05-14T15:07:47Z,2021-04-17T04:07:16Z,2021-03-30T15:36:44Z,true,4467,17933,17933,Java,false,true,false,true,4000,false,false,212,4000,master,17933,889
xxl-job,xuxueli/xxl-job,ff73b1a56d8e16e6647cad68b44ccadad23bca1d,,"""git@github.com:xuxueli/xxl-job.git""",false,2015-11-28T12:59:34Z,2021-04-14T03:00:28Z,2021-04-13T07:24:51Z,true,32371,17832,17832,Java,true,true,true,false,7623,false,false,557,7623,master,17832,933
PhotoView,Baseflow/PhotoView,No jnose,,"""git@github.com:Baseflow/PhotoView.git""",false,2012-07-17T16:39:00Z,2021-04-09T12:16:21Z,2021-03-11T03:55:31Z,true,16896,17609,17609,Java,false,true,false,false,3812,false,false,169,3812,master,17609,664
ExoPlayer,google/ExoPlayer,aeb306a164911aa1491b46c2db4da0d329c83c65,,"""git@github.com:google/ExoPlayer.git""",false,2014-06-13T21:19:18Z,2021-04-12T19:22:02Z,2021-04-12T18:43:17Z,true,131657,17534,17534,Java,true,true,false,true,5164,false,false,469,5164,release-v2,17534,869
ExoPlayer,google/ExoPlayer,,,"""git@github.com:google/ExoPlayer.git""",false,2014-06-13T21:19:18Z,2021-04-12T09:28:16Z,2021-04-12T10:49:46Z,true,131518,17531,17531,Java,true,true,false,true,5163,false,false,469,5163,release-v2,17531,868
jenkins,jenkinsci/jenkins,53823453a276de2e4fff20ec0b15c91aa806a0e3,,"""git@github.com:jenkinsci/jenkins.git""",false,2010-11-22T21:21:23Z,2021-04-13T03:32:54Z,2021-04-12T23:19:44Z,false,126826,17155,17155,Java,false,false,false,false,6746,false,false,55,6746,master,17155,890
nacos,alibaba/nacos,9fb0ec3b79385af78426452142019c04786c07a7,,"""git@github.com:alibaba/nacos.git""",false,2018-06-15T06:49:27Z,2021-04-08T18:20:05Z,2021-04-08T12:35:51Z,true,41186,17082,17082,Java,true,true,true,false,6658,false,false,283,6658,develop,17082,812
skywalking,apache/skywalking,edc154c40d91f834153c813ace4e02ce7a7b1b56,,"""git@github.com:apache/skywalking.git""",false,2015-11-07T03:30:36Z,2021-04-08T23:34:39Z,2021-04-08T23:51:34Z,true,158578,16544,16544,Java,false,true,false,false,4870,false,false,86,4870,master,16544,844
fresco,facebook/fresco,28409253fcce3f32d848d60ceacc8744df6c9530,,"""git@github.com:facebook/fresco.git""",false,2015-03-02T09:58:04Z,2021-04-10T12:38:07Z,2021-04-10T10:26:27Z,true,72279,16537,16537,Java,true,true,true,true,3742,false,false,133,3742,master,16537,890
bazel,bazelbuild/bazel,0223d59c1b7a64a3ab33c8c320ccf60cc182a621,,"""git@github.com:bazelbuild/bazel.git""",false,2014-06-12T16:00:38Z,2021-04-08T22:45:01Z,2021-04-08T22:10:55Z,true,757418,16491,16491,Java,true,true,true,false,2931,false,false,2056,2931,master,16491,597
redisson,redisson/redisson,0afd58f97f4e3adfd8f7f3bb0d27f51c0fba3e74,,"""git@github.com:redisson/redisson.git""",false,2014-01-11T14:06:25Z,2021-04-18T16:03:34Z,2021-04-15T11:39:37Z,true,17461,16233,16233,Java,false,true,true,false,3955,false,false,202,3955,master,16233,891
GSYVideoPlayer,CarGuo/GSYVideoPlayer,80c34d12038dbadd44ffe1a198b490292afcfe52,,"""git@github.com:CarGuo/GSYVideoPlayer.git""",false,2016-11-13T12:34:31Z,2021-04-09T11:32:53Z,2021-03-29T02:12:13Z,true,357369,16011,16011,Java,true,true,true,false,3543,false,false,20,3543,master,16011,411
flink,apache/flink,-,,"""git@github.com:apache/flink.git""",false,2014-06-07T07:00:10Z,2021-04-08T22:18:39Z,2021-04-08T22:40:08Z,false,367412,15938,15938,Java,false,true,false,false,8811,false,false,542,8811,master,15938,939
zheng,shuzheng/zheng,7005c0a775e6d014d1dc8a8a809f7b1c13bf785a,,"""git@github.com:shuzheng/zheng.git""",false,2016-10-04T10:07:06Z,2021-04-19T08:30:42Z,2021-01-20T22:44:04Z,true,41258,15917,15917,Java,true,true,true,false,7434,false,false,61,7434,master,15917,1501
Sentinel,alibaba/Sentinel,2c12b075340ac5058dc2c57b0e272048a6ba43f6,,"""git@github.com:alibaba/Sentinel.git""",false,2018-04-04T06:37:33Z,2021-04-08T14:32:34Z,2021-04-08T19:35:01Z,true,7095,15756,15756,Java,true,true,true,false,5408,false,false,336,5408,master,15756,755
tinker,Tencent/tinker,18f21f8981e7d984ab3d02ecb70ec724cb9fa8c2,,"""git@github.com:Tencent/tinker.git""",false,2016-09-06T06:57:52Z,2021-04-16T15:57:42Z,2021-04-16T11:55:17Z,true,6506,15751,15751,Java,true,true,true,false,3156,false,false,380,3156,dev,15751,719
litemall,linlinjava/litemall,bd5e56abc40cd6363c3e01fafbfa63e0a8881574,,"""git@github.com:linlinjava/litemall.git""",false,2018-03-22T16:42:30Z,2021-04-13T10:40:16Z,2021-04-13T05:43:47Z,true,24447,15695,15695,Java,true,true,true,false,6310,false,false,33,6310,master,15695,752
mybatis-3,mybatis/mybatis-3,fc4fcb70aeb7732ee24bd38f6b2561960d22c03b,,"""git@github.com:mybatis/mybatis-3.git""",false,2013-02-14T19:03:32Z,2021-04-10T06:15:49Z,2021-04-09T21:28:14Z,true,106812,15392,15392,Java,true,true,true,true,10434,false,false,167,10434,master,15392,1205
SpringCloudLearning,"""forezp/SpringCloudLearning""",,,"""git@github.com:forezp/SpringCloudLearning.git""",false,2017-04-08T10:06:56Z,2021-04-12T16:06:37Z,2021-04-12T09:53:47Z,true,582,15252,15252,Java,true,true,true,false,7466,false,false,45,7466,master,15252,824
SpringCloudLearning,"""forezp/SpringCloudLearning""",,,"""git@github.com:forezp/SpringCloudLearning.git""",false,2017-04-08T10:06:56Z,2021-04-12T13:02:49Z,2021-04-12T09:53:47Z,true,582,15250,15250,Java,true,true,true,false,7465,false,false,45,7465,master,15250,824
eladmin,elunez/eladmin,f207d003c2c1ef16f0aa5126c8a1cbb3c4b9456c,,"""git@github.com:elunez/eladmin.git""",false,2018-12-14T08:54:24Z,2021-04-10T12:46:55Z,2021-04-02T00:16:20Z,true,7481,15060,15060,Java,true,true,false,false,5565,false,false,13,5565,master,15060,536
HikariCP,brettwooldridge/HikariCP,f9b2c3d372b3f28911a872191ad62953c84bafa4,,"""git@github.com:brettwooldridge/HikariCP.git""",false,2013-10-08T05:43:03Z,2021-04-09T09:33:51Z,2021-04-06T17:58:28Z,true,4647,14827,14827,Java,true,true,true,false,2260,false,false,306,2260,dev,14827,733
"""Android-CleanArchitecture""","""android10/Android-CleanArchitecture""",,,"""git@github.com:android10/Android-CleanArchitecture.git""",false,2014-08-19T14:09:26Z,2021-04-08T20:23:42Z,2020-12-28T17:22:08Z,true,5191,14784,14784,Java,true,true,true,false,3293,false,false,144,3293,master,14784,859
java8-tutorial,winterbe/java8-tutorial,,,"""git@github.com:winterbe/java8-tutorial.git""",false,2014-03-16T17:25:43Z,2021-04-13T10:51:55Z,2021-04-03T18:26:58Z,false,157,14589,14589,Java,false,true,false,false,3541,false,false,20,3541,master,14589,1023
"""FizzBuzzEnterpriseEdition""","""EnterpriseQualityCoding/FizzBuzzEnterpriseEdition""",,,"""git@github.com:EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git""",false,2012-11-24T00:14:41Z,2021-04-10T18:37:19Z,2021-03-31T11:03:03Z,true,340,14348,14348,Java,true,true,true,false,633,false,false,330,633,uinverse,14348,178
"""springboot-learning-example""","""JeffLi1993/springboot-learning-example""",,,"""git@github.com:JeffLi1993/springboot-learning-example.git""",false,2017-02-06T07:02:25Z,2021-04-12T13:04:03Z,2021-03-02T04:51:41Z,true,450,14129,14129,Java,true,true,true,false,6743,false,false,46,6743,master,14129,1016
lottie-react-native,"""lottie-react-native/lottie-react-native""",,,"""git@github.com:lottie-react-native/lottie-react-native.git""",false,2017-01-27T18:24:50Z,2021-04-18T14:30:02Z,2021-04-15T10:38:05Z,true,192363,14032,14032,Java,true,true,false,false,1520,false,false,131,1520,master,14032,254
rocketmq,apache/rocketmq,b4240d5cea8d001c21b9c0d73f5aa700fcd0d568,,"""git@github.com:apache/rocketmq.git""",false,2016-11-30T08:00:08Z,2021-04-09T00:41:50Z,2021-04-08T13:32:41Z,true,9095,13926,13926,Java,true,true,true,false,7655,false,false,429,7655,master,13926,866
CircleImageView,"""hdodenhof/CircleImageView""",,,"""git@github.com:hdodenhof/CircleImageView.git""",false,2014-01-17T16:44:46Z,2021-04-10T11:15:33Z,2020-12-30T07:44:38Z,true,1000,13839,13839,Java,false,true,false,false,3044,false,false,8,3044,master,13839,414
shardingsphere,apache/shardingsphere,16aef56ae33fa71ebd47ef112dbb9e83bf91b47f,,"""git@github.com:apache/shardingsphere.git""",false,2016-01-18T12:49:26Z,2021-04-08T16:08:20Z,2021-04-08T13:24:44Z,true,395770,13625,13625,Java,true,true,false,false,4621,false,false,248,4621,master,13625,983
disruptor,LMAX-Exchange/disruptor,8d47d06b91a9f105d053bc0c6ae79cf7380385e9,,"""git@github.com:LMAX-Exchange/disruptor.git""",false,2012-09-21T13:42:24Z,2021-04-13T14:25:41Z,2021-04-13T12:47:18Z,true,9320,13607,13607,Java,true,true,true,true,3348,false,false,18,3348,master,13607,1311
Material-Animations,"""lgvalle/Material-Animations""",,,"""git@github.com:lgvalle/Material-Animations.git""",false,2015-03-08T20:54:00Z,2021-04-13T09:39:00Z,2019-04-02T15:42:38Z,true,8692,13530,13530,Java,true,true,true,false,2562,false,false,19,2562,master,13530,542
NewPipe,TeamNewPipe/NewPipe,01e8944077f95a7358cacc0c2b43540e3e49f6eb,,"""git@github.com:TeamNewPipe/NewPipe.git""",false,2015-09-03T23:39:26Z,2021-04-16T20:34:51Z,2021-04-16T10:07:49Z,true,49697,13530,13530,Java,true,true,true,false,1747,false,false,966,1747,dev,13530,490
ARouter,alibaba/ARouter,38c0eeae79253a9bfb0d5f1b19f63c31c4364b9c,,"""git@github.com:alibaba/ARouter.git""",false,2016-12-14T01:27:49Z,2021-04-08T13:43:49Z,2021-03-04T07:02:16Z,true,26563,13026,13026,Java,true,true,true,false,2273,false,false,39,2273,develop,13026,370
QMUI_Android,Tencent/QMUI_Android,e3efc86ca9a46965d3c2de3efec5155b12caeca3,,"""git@github.com:Tencent/QMUI_Android.git""",false,2017-04-21T10:03:18Z,2021-04-16T09:20:14Z,2021-04-12T08:34:32Z,true,17449,12847,12847,Java,true,true,true,false,2476,false,false,365,2476,master,12847,330
Android-PickerView,"""Bigkoo/Android-PickerView""",,,"""git@github.com:Bigkoo/Android-PickerView.git""",false,2014-12-28T01:46:38Z,2021-04-08T15:52:54Z,2021-01-25T14:06:24Z,true,6384,12658,12658,Java,true,true,true,false,3265,false,false,389,3265,master,12658,316
Luban,Curzibn/Luban,d1fca89f2564e995cbdd9defb8000e5212ab5000,,"""git@github.com:Curzibn/Luban.git""",false,2016-07-24T07:43:21Z,2021-04-09T09:03:01Z,2021-03-12T03:20:49Z,true,5029,12419,12419,Java,true,true,true,false,2095,false,false,139,2095,master,12419,360
stetho,facebook/stetho,7c4dc8de4deb28c012b199ef52b9b5c7ad626793,,"""git@github.com:facebook/stetho.git""",false,2015-01-22T22:34:10Z,2021-04-10T11:26:44Z,2021-04-07T03:02:12Z,true,2347,12205,12205,Java,true,true,true,true,1131,false,false,75,1131,master,12205,388
"""material-components-android""","""material-components/material-components-android""",,,"""git@github.com:material-components/material-components-android.git""",false,2016-12-05T16:11:29Z,2021-04-08T20:18:30Z,2021-04-03T17:12:23Z,true,58415,12180,12180,Java,true,true,false,false,2327,false,false,719,2327,master,12180,417
